年月日,全国地方公共団体コード,市区名,年齢［歳］,人口総数［人］,男［人］,女［人］
2017/1/1,141011,鶴見区,総数,287451,148559,138892
2017/1/1,141011,鶴見区,0,2706,1389,1317
2017/1/1,141011,鶴見区,1,2654,1326,1328
2017/1/1,141011,鶴見区,2,2611,1375,1236
2017/1/1,141011,鶴見区,3,2584,1336,1248
2017/1/1,141011,鶴見区,4,2652,1376,1276
2017/1/1,141011,鶴見区,5,2647,1348,1299
2017/1/1,141011,鶴見区,6,2500,1245,1255
2017/1/1,141011,鶴見区,7,2453,1278,1175
2017/1/1,141011,鶴見区,8,2499,1293,1206
2017/1/1,141011,鶴見区,9,2372,1206,1166
2017/1/1,141011,鶴見区,10,2423,1282,1141
2017/1/1,141011,鶴見区,11,2245,1121,1124
2017/1/1,141011,鶴見区,12,2345,1210,1135
2017/1/1,141011,鶴見区,13,2338,1212,1126
2017/1/1,141011,鶴見区,14,2376,1175,1201
2017/1/1,141011,鶴見区,15,2366,1211,1155
2017/1/1,141011,鶴見区,16,2450,1230,1220
2017/1/1,141011,鶴見区,17,2407,1205,1202
2017/1/1,141011,鶴見区,18,2423,1237,1186
2017/1/1,141011,鶴見区,19,2555,1329,1226
2017/1/1,141011,鶴見区,20,2612,1348,1264
2017/1/1,141011,鶴見区,21,2687,1382,1305
2017/1/1,141011,鶴見区,22,3042,1629,1413
2017/1/1,141011,鶴見区,23,3191,1689,1502
2017/1/1,141011,鶴見区,24,3362,1830,1532
2017/1/1,141011,鶴見区,25,3521,1975,1546
2017/1/1,141011,鶴見区,26,3473,1864,1609
2017/1/1,141011,鶴見区,27,3655,2014,1641
2017/1/1,141011,鶴見区,28,3725,1954,1771
2017/1/1,141011,鶴見区,29,3835,2110,1725
2017/1/1,141011,鶴見区,30,3954,2218,1736
2017/1/1,141011,鶴見区,31,4069,2147,1922
2017/1/1,141011,鶴見区,32,4303,2291,2012
2017/1/1,141011,鶴見区,33,4168,2211,1957
2017/1/1,141011,鶴見区,34,4100,2161,1939
2017/1/1,141011,鶴見区,35,4205,2153,2052
2017/1/1,141011,鶴見区,36,4154,2268,1886
2017/1/1,141011,鶴見区,37,4315,2316,1999
2017/1/1,141011,鶴見区,38,4366,2307,2059
2017/1/1,141011,鶴見区,39,4457,2415,2042
2017/1/1,141011,鶴見区,40,4700,2482,2218
2017/1/1,141011,鶴見区,41,4882,2681,2201
2017/1/1,141011,鶴見区,42,5167,2705,2462
2017/1/1,141011,鶴見区,43,5431,2917,2514
2017/1/1,141011,鶴見区,44,5311,2889,2422
2017/1/1,141011,鶴見区,45,5066,2746,2320
2017/1/1,141011,鶴見区,46,4910,2583,2327
2017/1/1,141011,鶴見区,47,4824,2593,2231
2017/1/1,141011,鶴見区,48,4695,2597,2098
2017/1/1,141011,鶴見区,49,4878,2634,2244
2017/1/1,141011,鶴見区,50,3369,1837,1532
2017/1/1,141011,鶴見区,51,4249,2366,1883
2017/1/1,141011,鶴見区,52,3995,2156,1839
2017/1/1,141011,鶴見区,53,3752,2035,1717
2017/1/1,141011,鶴見区,54,3689,2049,1640
2017/1/1,141011,鶴見区,55,3395,1817,1578
2017/1/1,141011,鶴見区,56,3367,1816,1551
2017/1/1,141011,鶴見区,57,3256,1764,1492
2017/1/1,141011,鶴見区,58,3206,1690,1516
2017/1/1,141011,鶴見区,59,2915,1512,1403
2017/1/1,141011,鶴見区,60,3066,1617,1449
2017/1/1,141011,鶴見区,61,3082,1636,1446
2017/1/1,141011,鶴見区,62,3130,1672,1458
2017/1/1,141011,鶴見区,63,3254,1748,1506
2017/1/1,141011,鶴見区,64,3239,1641,1598
2017/1/1,141011,鶴見区,65,3407,1786,1621
2017/1/1,141011,鶴見区,66,3621,1890,1731
2017/1/1,141011,鶴見区,67,4086,2186,1900
2017/1/1,141011,鶴見区,68,4146,2099,2047
2017/1/1,141011,鶴見区,69,3867,1929,1938
2017/1/1,141011,鶴見区,70,2588,1253,1335
2017/1/1,141011,鶴見区,71,2409,1205,1204
2017/1/1,141011,鶴見区,72,2959,1476,1483
2017/1/1,141011,鶴見区,73,2994,1426,1568
2017/1/1,141011,鶴見区,74,2785,1336,1449
2017/1/1,141011,鶴見区,75,2811,1326,1485
2017/1/1,141011,鶴見区,76,2434,1112,1322
2017/1/1,141011,鶴見区,77,2061,926,1135
2017/1/1,141011,鶴見区,78,1876,799,1077
2017/1/1,141011,鶴見区,79,2084,907,1177
2017/1/1,141011,鶴見区,80,1916,766,1150
2017/1/1,141011,鶴見区,81,1830,758,1072
2017/1/1,141011,鶴見区,82,1530,595,935
2017/1/1,141011,鶴見区,83,1487,541,946
2017/1/1,141011,鶴見区,84,1406,538,868
2017/1/1,141011,鶴見区,85,1271,473,798
2017/1/1,141011,鶴見区,86,1082,402,680
2017/1/1,141011,鶴見区,87,970,326,644
2017/1/1,141011,鶴見区,88,832,291,541
2017/1/1,141011,鶴見区,89,721,234,487
2017/1/1,141011,鶴見区,90,605,177,428
2017/1/1,141011,鶴見区,91,499,158,341
2017/1/1,141011,鶴見区,92,373,99,274
2017/1/1,141011,鶴見区,93,287,57,230
2017/1/1,141011,鶴見区,94,204,35,169
2017/1/1,141011,鶴見区,95,181,37,144
2017/1/1,141011,鶴見区,96,96,25,71
2017/1/1,141011,鶴見区,97,70,14,56
2017/1/1,141011,鶴見区,98,57,7,50
2017/1/1,141011,鶴見区,99,35,6,29
2017/1/1,141011,鶴見区,100,51,5,46
2017/1/1,141011,鶴見区,年齢不詳,2192,1510,682
